     host guest      	                       dG (kJ/mol)         bootstrapped err (kJ/mol)
jnk1 18660-1                             :	  -42.72          	    2.32
jnk1 18659-1                             :	  -44.66          	    2.59
jnk1 18658-1                             :	  -42.11          	    1.45
jnk1 18652-1                             :	  -43.16          	    2.44
jnk1 18639-1                             :	  -48.32          	    2.37
jnk1 18638-1                             :	  -47.59          	    3.37
jnk1 18637-1                             :	  -44.97          	    1.51
jnk1 18636-1                             :	  -36.79          	    1.37
jnk1 18635-1                             :	  -36.64          	    2.14
jnk1 18634-1                             :	  -43.91          	    1.94
jnk1 18633-1                             :	  -39.13          	    1.37
jnk1 18632-1                             :	  -44.64          	    2.55
jnk1 18631-1                             :	  -41.82          	    2.77
jnk1 18630-1                             :	  -40.98          	    2.25
jnk1 18629-1                             :	  -41.29          	    1.83
jnk1 18628-1                             :	  -35.74          	    2.23
jnk1 18627-1                             :	  -42.81          	    2.85
jnk1 18626-1                             :	  -44.94          	    2.30
jnk1 18625-1                             :	  -32.14          	    1.40
jnk1 18624-1                             :	  -35.10          	    2.54
jnk1 17124-1                             :	  -47.42          	    2.31
