#         protein                     ligand             simulation dG (kJ/mol)    experimental dG (kJ/mol)  
           jnk1                     18660-1                  -40.5 ± 2.9                -36.3 ± 0.3        
           jnk1                     18659-1                  -42.0 ± 3.5                -39.4 ± 0.3        
           jnk1                     18658-1                  -39.5 ± 1.8                -40.4 ± 0.4        
           jnk1                     18652-1                  -40.0 ± 2.2                -44.4 ± 0.4        
           jnk1                     18639-1                  -46.0 ± 3.1                -40.6 ± 0.6        
           jnk1                     18638-1                  -44.8 ± 2.8                -42.0 ± 0.4        
           jnk1                     18637-1                  -42.5 ± 2.0                -42.4 ± 1.5        
           jnk1                     18636-1                  -34.0 ± 1.6                -31.7 ± 1.8        
           jnk1                     18635-1                  -35.0 ± 1.6                -30.5 ± 0.4        
           jnk1                     18634-1                  -41.4 ± 2.2                -41.5 ± 0.3        
           jnk1                     18633-1                  -36.9 ± 1.4                -38.3 ± 1.0        
           jnk1                     18632-1                  -42.4 ± 3.1                -38.1 ± 1.4        
           jnk1                     18631-1                  -39.5 ± 2.8                -39.4 ± 1.2        
           jnk1                     18630-1                  -39.5 ± 3.3                -38.1 ± 0.2        
           jnk1                     18629-1                  -38.7 ± 2.9                -36.2 ± 0.4        
           jnk1                     18628-1                  -34.1 ± 2.3                -36.4 ± 0.9        
           jnk1                     18627-1                  -40.8 ± 3.3                -35.5 ± 0.8        
           jnk1                     18626-1                  -43.3 ± 3.5                -37.0 ± 0.6        
           jnk1                     18625-1                  -29.6 ± 2.5                -33.9 ± 0.8        
           jnk1                     18624-1                  -32.7 ± 2.9                -35.5 ± 0.7        
           jnk1                     17124-1                  -44.7 ± 3.2                -40.6 ± 1.6        
