     host guest      	                       dG (kJ/mol)         bootstrapped err (kJ/mol)
p38 p38a_2aa                             :	  -46.53          	    2.82
p38 p38a_3fmk                            :	  -53.80          	    2.10
p38 p38a_3fmh                            :	  -48.35          	    2.00
p38 p38a_3flz                            :	  -43.59          	    2.11
p38 p38a_3fly                            :	  -44.11          	    2.79
p38 p38a_3flw                            :	  -52.38          	    2.05
p38 p38a_3flq                            :	  -44.83          	    2.31
p38 p38a_3fln                            :	  -46.82          	    2.44
p38 p38a_2z                              :	  -48.71          	    3.51
p38 p38a_2y                              :	  -48.54          	    3.71
p38 p38a_2x                              :	  -44.41          	    3.31
p38 p38a_2v                              :	  -37.79          	    3.22
p38 p38a_2u                              :	  -53.91          	    4.91
p38 p38a_2t                              :	  -42.53          	    3.28
p38 p38a_2s                              :	  -48.07          	    3.83
p38 p38a_2r                              :	  -48.93          	    2.97
p38 p38a_2q                              :	  -52.72          	    1.12
p38 p38a_2p                              :	  -46.61          	    3.35
p38 p38a_2o                              :	  -44.20          	    3.13
p38 p38a_2n                              :	  -46.86          	    3.55
p38 p38a_2m                              :	  -46.96          	    3.30
p38 p38a_2l                              :	  -49.21          	    2.86
p38 p38a_2k                              :	  -43.90          	    1.34
p38 p38a_2j                              :	  -45.51          	    1.61
p38 p38a_2i                              :	  -45.58          	    2.11
p38 p38a_2h                              :	  -44.37          	    2.14
p38 p38a_2gg                             :	  -42.41          	    2.77
p38 p38a_2g                              :	  -46.02          	    1.72
p38 p38a_2ff                             :	  -46.85          	    1.43
p38 p38a_2f                              :	  -47.82          	    3.11
p38 p38a_2ee                             :	  -45.29          	    3.43
p38 p38a_2e                              :	  -47.87          	    1.87
p38 p38a_2c                              :	  -49.74          	    1.92
p38 p38a_2bb                             :	  -39.39          	    4.31
