     host guest      	                       dG (kJ/mol)         bootstrapped err (kJ/mol)
pde2 43249674                            :	  -41.48         	    1.99
pde2 50181001                            :	  -53.94         	    2.74
pde2 50107616                            :	  -51.13         	    3.37
pde2 49932714                            :	  -49.05         	    3.14
pde2 49932129                            :	  -41.62         	    3.77
pde2 49585367                            :	  -49.21         	    4.40
pde2 49582468                            :	  -51.07         	    2.47
pde2 49582390                            :	  -54.39         	    2.58
pde2 49580115                            :	  -43.83         	    2.08
pde2 49396360                            :	  -47.76         	    2.86
pde2 49220548                            :	  -62.61         	    5.05
pde2 49220392                            :	  -54.08         	    5.44
pde2 49175828                            :	  -58.65         	    4.23
pde2 49175789                            :	  -59.56         	    4.25
pde2 49137530                            :	  -47.82         	    2.13
pde2 49137374                            :	  -48.07         	    2.51
pde2 49072088                            :	  -45.95         	    4.01
pde2 48271249                            :	  -45.78         	    3.00
pde2 48168913                            :	  -37.21         	    3.36
pde2 48022468                            :	  -44.35         	    2.63
pde2 48009208                            :	  -37.39         	    4.31
