     host guest      	                       dG (kJ/mol)         bootstrapped err (kJ/mol)
pde2 43249674                            :	  -45.14         	    2.38
pde2 50181001                            :	  -54.27         	    2.10
pde2 50107616                            :	  -60.52         	    7.93
pde2 49932714                            :	  -51.02         	    2.85
pde2 49932129                            :	  -41.83         	    2.85
pde2 49585367                            :	  -49.44         	    2.79
pde2 49582468                            :	  -48.96         	    4.43
pde2 49582390                            :	  -52.95         	    3.86
pde2 49580115                            :	  -44.51         	    2.82
pde2 49396360                            :	  -46.14         	    2.89
pde2 49220548                            :	  -63.58         	    5.20
pde2 49220392                            :	  -53.54         	    3.75
pde2 49175828                            :	  -54.68         	    2.70
pde2 49175789                            :	  -61.56         	    2.87
pde2 49137530                            :	  -55.58         	    3.55
pde2 49137374                            :	  -47.08         	    4.54
pde2 49072088                            :	  -45.28         	    4.03
pde2 48271249                            :	  -43.45         	    3.44
pde2 48168913                            :	  -36.63         	    1.92
pde2 48022468                            :	  -45.18         	    2.23
pde2 48009208                            :	  -48.44         	    4.35
