     host guest      	                       dG (kJ/mol)         bootstrapped err (kJ/mol)
pde2 43249674                            :	  -35.43         	    4.10
pde2 50181001                            :	  -43.99         	    4.26
pde2 50107616                            :	  -51.51         	    5.85
pde2 49932714                            :	  -38.31         	    4.44
pde2 49932129                            :	  -31.73         	    2.85
pde2 49585367                            :	  -38.23         	    4.28
pde2 49582468                            :	  -42.76         	    5.39
pde2 49582390                            :	  -41.70         	    4.58
pde2 49580115                            :	  -41.02         	    2.84
pde2 49396360                            :	  -44.02         	    3.68
pde2 49220548                            :	  -50.13         	    3.25
pde2 49220392                            :	  -47.21         	    6.89
pde2 49175828                            :	  -51.02         	    5.75
pde2 49175789                            :	  -52.04         	    5.72
pde2 49137530                            :	  -42.90         	    5.13
pde2 49137374                            :	  -33.83         	    3.42
pde2 49072088                            :	  -39.49         	    6.22
pde2 48271249                            :	  -41.24         	    5.00
pde2 48168913                            :	  -34.19         	    3.35
pde2 48022468                            :	  -40.65         	    5.12
pde2 48009208                            :	  -32.30         	    3.33
