#         protein                     ligand             simulation dG (kJ/mol)    experimental dG (kJ/mol)  
           pde2                     43249674                 -35.4 ± 4.1                -49.2 ± 0.9        
           pde2                     50181001                 -44.0 ± 4.3                -39.8 ± 0.3        
           pde2                     50107616                 -51.5 ± 5.8                -39.5 ± 1.8        
           pde2                     49932714                 -38.3 ± 4.4                -41.3 ± 0.1        
           pde2                     49932129                 -31.7 ± 2.9                -40.5 ± 1.4        
           pde2                     49585367                 -38.2 ± 4.3                -40.2 ± 1.1        
           pde2                     49582468                 -42.8 ± 5.4                -43.2 ± 0.9        
           pde2                     49582390                 -41.7 ± 4.6                -45.1 ± 1.7        
           pde2                     49580115                 -41.0 ± 2.8                -42.3 ± 1.1        
           pde2                     49396360                 -44.0 ± 3.7                -43.2 ± 0.9        
           pde2                     49220548                 -50.1 ± 3.2                -47.0 ± 1.0        
           pde2                     49220392                 -47.2 ± 6.9                -47.2 ± 1.2        
           pde2                     49175828                 -51.0 ± 5.8                -50.3 ± 2.1        
           pde2                     49175789                 -52.0 ± 5.7                -46.5 ± 1.3        
           pde2                     49137530                 -42.9 ± 5.1                -46.8 ± 1.7        
           pde2                     49137374                 -33.8 ± 3.4                -47.2 ± 1.7        
           pde2                     49072088                 -39.5 ± 6.2                -36.9 ± 0.7        
           pde2                     48271249                 -41.2 ± 5.0                -45.5 ± 0.5        
           pde2                     48168913                 -34.2 ± 3.4                -43.6 ± 1.3        
           pde2                     48022468                 -40.6 ± 5.1                -50.0 ± 1.1        
           pde2                     48009208                 -32.3 ± 3.3                -46.1 ± 1.1        
